xMercuryAtSun,yMercuryAtSun,xVenusAtSun,yVenusAtSun,xEarthAtSun,yEarthAtSun,xMarsAtSun,yMarsAtSun,xMoonAtEarth,yMoonAtEarth,xPhobosAtMars,yPhobosAtMars,xDeimosAtMars,yDeimosAtMars
30814851,-57527008,-69986679,81409073,139074040,-58927554,-108519141,217784709,-127397,339309,-7042,-5432,-16503,13661
33627186,-55231628,-72263568,79388217,140017312,-56558599,-110310363,217021873,-209255,294744,-1027,-9211,8115,21899
36318779,-52738047,-74482804,77304024,140920142,-54173148,-112094023,216244155,-278115,231638,5690,-6501,20748,-2197
38876174,-50049715,-76642616,75158156,141782192,-51771925,-113870009,215451632,-329679,153994,8359,838,2712,-23046
41285470,-47170837,-78741284,72952328,142603147,-49355671,-115638212,214644380,-360986,66837,5175,7621,-19330,-9850
43532319,-44106478,-80777137,70688303,143382726,-46925138,-117398523,213822476,-370643,-24309,-1538,9259,-12843,17896
45601933,-40862672,-82748555,68367891,144120674,-44481085,-119150832,212985998,-358818,-113972,-7251,4781,12602,19216
47479095,-37446548,-84653970,65992947,144816768,-42024267,-120895033,212135024,-327028,-197172,-8184,-2836,19430,-7836
49148199,-33866466,-86491871,63565370,145470807,-39555436,-122631019,211269633,-277819,-269720,-3613,-8515,-2459,-23313
50593296,-30132174,-88260798,61087103,146082608,-37075334,-124358683,210389903,-214428,-328340,3445,-8257,-20717,-4346
51798175,-26254964,-89959350,58560128,146652007,-34584701,-126077920,209495915,-140499,-370683,8047,-2133,-8401,21038
52746465,-22247857,-91586183,55986466,147178854,-32084266,-127788626,208587749,-59865,-395268,6962,5518,16319,15361
53421777,-18125780,-93140012,53368178,147663010,-29574756,-129490696,207665486,23599,-401405,1072,9404,16924,-13000
53807888,-13905758,-94619612,50707357,148104348,-27056890,-131184028,206729207,106076,-389126,-5555,7026,-7479,-22157
53888978,-9607099,-96023818,48006132,148502750,-24531384,-132868519,205778995,183868,-359141,-8534,30,-20840,1421
53649915,-5251567,-97351527,45266662,148858109,-21998950,-134544068,204814931,253474,-312807,-5835,-6961,-3444,22899
53076613,-863533,-98601698,42491139,149170328,-19460293,-136210573,203837100,311662,-252119,844,-9156,19037,10571
52156452,3529915,-99773354,39681782,149439315,-16916116,-137867935,202845583,355570,-179697,6908,-4888,13382,-17372
50878767,7898923,-100865581,36840834,149664985,-14367117,-139516053,201840466,382836,-98755,8062,2863,-12044,-19650
49235412,12210902,-101877533,33970566,149847258,-11813988,-141154830,200821832,391739,-13040,3585,8647,-19692,7098
47221364,16430673,-102808426,31073269,149986058,-9257421,-142784167,199789767,381354,73282,-3337,8609,1727,23364
44835382,20520742,-103657542,28151256,150081307,-6698107,-144403967,198744356,351685,155796,-8070,2892,20593,5139
42080660,24441742,-104424233,25206858,150132929,-4136736,-146014134,197685685,303756,230054,-7477,-4719,9023,-20681
38965452,28153048,-105107916,22242422,150140849,-1574005,-147614571,196613841,239655,291837,-1842,-9114,-15877,-15942
35503615,31613591,-105708073,19260312,150104989,989380,-149205184,195528910,162488,337426,5053,-7137,-17345,12339
31714999,34782836,-106224258,16262901,150025275,3552708,-150785879,194430980,76269,363876,8348,-86,6795,22403
